text,t_first_line,t_last_line,n_chars,n_tokens,video_id,video_duration,start_link,response,response_2
checking because it's closer to you okay then you've got um hesitation on mini roundabouts um you kind of get there and you sort of just watch the traffic on the right now this nearly escalated and became a bit of a serious fault because it was happening two or three times the last one remember where we stalled yeah yeah so when you got to that round about i know there's a vehicle on your right and they're indicating yeah but you should have also watched the traffic to your left yeah because everybody on your left was turning right which yeah i knew they were gonna block it that's it so why are we waiting yeah yeah we could have taken that i took my my style yeah yeah and then um there was two over here is all for moving off control you stormed the car twice no that's not a major shoot but you know it shouldn't be happening yeah don't know okay and then lastly we've got response to other road users remember when that guy was trying to give you away on that other road you,2240.72,2291.52,985,203,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2240,I would rate this situation as a 7 because the student's hesitation at the mini roundabout could have escalated into a serious fault and caused an accident.,were just waving him on okay so if somebody tries to give way to you you need to make sure that it's safe for you to go before you go okay so don't just take their word for it if you're not sure that it's safe for you to go make sure that you check it out yourself and then you can go okay so overall you did very well but there's still a few things that you need to work on okay so keep practicing and you'll get there.
know where the yeah the main the main road yeah i thought he was he like didn't make it really obvious he kind of just had like his hand out like this so he's like i'm just he had it out for a while yeah yeah so you notice him a little bit later but on the right did you notice there was a traffic yeah it was clear yeah so that traffic light was red so now that traffic's not going to come through yeah so you could have taken that first half which is why he was giving way yeah it definitely felt tight in front of him so i was like no no it doesn't it doesn't mean you have to go right into that space yeah he's giving way which means that as the traffic lights go green even if the traffic on the right starts you'd already be in the middle so that when the traffic in front of you passes you now come in front of him yeah are you recording yes you are okay so we don't need the other two for this,2294.96,2337.119,901,199,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2294,"Critical level: 3. 
While there is some complexity to the situation, it is not overly dangerous as the traffic light on the right is red and the other driver is giving way.","""I know, where? The main, the main road? Yeah, I thought he was. He, like, didn't make it really obvious. He kind of just had his hand out like this. So he's like, 'I'm just', he had it out for a while. Yeah, yeah, so you notice him a little bit later. But on the right, did you notice there was a traffic - yeah, it was clear? Yeah, so that traffic light was red. So now that traffic's not going to come through. Yeah, so you could have taken that first half, which is why he was giving way. It definitely felt tight in front of him, so I was like, 'No, no.' It doesn't mean you have to go right into that space. Yeah, he's giving way, which means that as the traffic lights go green, even if the traffic on the right starts, you already be in the middle, so that when the traffic in front of you passes, you now come in front of him. Are you recording? Yes, you are. Ok, so we don't need the others for this."""
bit so in terms of the drive it wasn't all bad like we said okay there was a lot of good things going on so you're definitely keeping up to the speed of the road and when you're driving in at 20 miles per hour you're trying to get into third gear a lot more which is great when we did those right turns at the traffic lights there was quite a few where you have to go and sit in the middle and respond to the traffic lights once you're there that was really good you're dealing with the surroundings quite nicely do you remember the one where you said oh am i allowed to turn right from here yeah that one was tricky that one was a little it was like you know it's out on the ground yeah so i'm just gonna follow this moped yeah and like yeah so what happened there is when we got there initially that lane had a straight and right arrow yeah and the guy in front of us he was going straight yeah which is,2338.4,2377.68,905,195,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2338,"Critical level: 3. 

While there was a tricky situation with a right turn, overall the driving situation was not very critical as the learner driver was keeping up with the speed of the road, handling turns at traffic lights well, and navigating surroundings nicely.","correct. However, the arrow changes when you get closer to the junction and it becomes a right turn only lane which is why we couldn't go straight but had to turn right instead. Other than that, your observation and awareness were good, you checked your mirrors and blind spots regularly and didn't make any dangerous or reckless manoeuvres. Your steering and control of the vehicle was also fine. However, there were a few minor faults such as not checking your mirrors before signalling, not positioning your car correctly at times and not using your handbrake when parked. These are things that you can easily improve on with practice. Overall, it was a decent drive and with a bit more work on these areas, you should be able to pass your test soon."
why you got a bit confused going well where has he gone but yeah if you can see it's the right arrow we're just going to go around the top of that moped okay and then wait until the road ahead is clear but you dealt with that nicely and when you turned into the new road you made sure you went into the first lane which is the left lane and you were up to the speed of the road no trouble on that road at all so yeah all of that was good um what else was that even when we came off the uh slip road on the dual carriageway there were two lanes to turn and you were in the first of the two lanes and then when you moved off from that position you made sure you stayed on the left and the turn so that was really good and sometimes people may start in the left lane and then when they're turning they just turn straight over but you didn't do that that was all really good a lot of good use of mirrors towards the,2379.28,2421.04,911,200,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2379,end of the clip. Critical level: 1. The situation is not critical at all as the learner driver is performing well and there are no potential hazards or risks mentioned in the transcription.,"beginning of the drive as well, checking your blind spot and signaling correctly. The only thing to work on is your observation skills when approaching roundabouts, but we'll work on that in the next lesson. Keep up the good work and we'll see you then."
right it's just the left hand side was a little bit off which i i noticed that most often with anyone that's been driving like experienced drivers because you're closer to the right you'll check that one away whereas the left you don't check it as much but the reason you want to check the left as much this much is because more driving on these 20 roads cyclists so many cyclists cyclists cyclists motorbikes they turn up very quickly don't they and yeah they can just come up and through any small gap and they'll be through so that's why these left mirror checks were sort of vital in places yeah oh another thing i remembered um do you remember when we were waiting on the other road parked up and there was a bit of traffic behind us and you'd signal to move off and then that motorbike gave you away yeah so with that there was traffic flowing you've signaled to go which is fine but when they're when there's traffic flowing,2422.88,2468.48,931,191,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2422,"Critical level: 8. 

The situation is critical because there are many cyclists and motorbikes on the road and they can quickly appear from the left side, which is often overlooked by experienced drivers. Left mirror checks are vital in these areas to avoid accidents. Additionally, the previous situation where a motorbike gave away the driver's intention to move off was a potential danger in flowing traffic.","Right, it's just the left-hand side was a little bit off, which I noticed that most often with anyone that's been driving, like experienced drivers, because you're closer to the right, you'll check that one away. Whereas the left, you don't check it as much, but the reason you want to check the left as much is because more driving on these 20 roads, cyclists, so many cyclists, cyclists, cyclists, motorbikes. They turn up very quickly, don't they? And yeah, they can just come up and through any small gap, and they'll be through. So that's why these left mirror checks were sort of vital in places. Yeah, oh, another thing I remembered. Do you remember when we were waiting on the other road parked up, and there was a bit of traffic behind us, and you'd signal to move off? And then that motorbike gave you away, yeah. So with that, there was traffic flowing. You've signaled to go, which is fine. But when there's traffic flowing..."
be prepared to go if you want to move in front of them so what happened there is the motorbike gave you way and you were like oh wait he's giving me away so if you're signaling he's they're most likely to give way and if they do you've got to be ready to go but you dealt with that fairly quickly so again no issues but be prepared if you can see this traffic and you don't really want to go before them just wait for your signal put it on when you want to go okay that's good yeah let's go work on some of these things and yes all right so one last mistake that i wanted to talk about and that was the traffic light right turn yes so um with that one when the lights were green the traffic in front of you moved but we could see the bus and the new road wasn't moving so there's no point of us going forward so what happened there is you've gone past past the stop line and after that there's a cycle box and a crossing box,2470.079,2516.16,924,205,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2470,"Critical level: 8 - The situation at the traffic light right turn could potentially be dangerous as there was a cycle box and a crossing box after the stop line, and the traffic ahead was not moving.",". Be prepared to go if you want to move in front of them. So, what happened there is the motorbike gave you way and you were like ""oh wait, he's giving me way."" So, if you're signaling, they're most likely to give way. And, if they do, you've got to be ready to go. But you dealt with that fairly quickly, so again, no issues. But be prepared. If you can see this traffic, and you don't really want to go before them, just wait for your signal. Put it on when you want to go. Okay, that's good. Yeah, let's go work on some of these things. And, yes, alright. So, one last mistake that I wanted to talk about, and that was the traffic light right turn. So, with that one, when the lights were green, the traffic in front of you moved, but we could see the bus and the new road wasn't moving. So, there's no point of us going forward. So, what happened there is you've gone past the stop line and after that, there's a cycle box and a crossing box."
now neither of those two spaces we should have been in i have to tell you to stop because if we went any further we would have now been blocking the road i don't think you were going to go forward anyways but it's just the point we're out we shouldn't be there now the reason that's a serious fault is because we should have noticed what was happening and waited behind the stop line the position that we're in if a bus or a lorry tries to come round that corner we're in the space that they'd be turning from so sometimes at these traffic lights you find advanced stop lines so the stop line is a lot further than the actual junction which is what we had there okay um besides that how do you feel about some of the mini roundabouts now that we've practiced through them yeah they've been great um it's definitely really helpful to go through them again and again yeah um to just see like because what you kept doing,2517.92,2561.44,917,190,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2517,"Critical level: 8 - The situation was critical as being in the wrong position at a traffic light junction, especially where there are advanced stop lines, can cause serious accidents especially if larger vehicles, such as buses or lorries, are there as well.","Now, neither of those two spaces we should have been in. I have to tell you to stop because if we went any further, we would have now been blocking the road. I don't think you were going to go forward anyways, but it's just the point. We're out, we shouldn't be there. Now, the reason that's a serious fault is because we should have noticed what was happening and waited behind the stop line. The position that we're in, if a bus or a lorry tries to come around that corner, we're in the space that they'd be turning from. So sometimes at these traffic lights, you find advanced stop lines, so the stop line is a lot further than the actual junction, which is what we had there. Okay, besides that, how do you feel about some of the mini roundabouts now that we've practiced through them? Yeah, they've been great. It's definitely helpful to go through them again and again to see what you kept doing."
earlier was you were looking right and just you've seen someone there and then you're just waiting yeah but now on the next last few attempts that we've had you've definitely been looking both ways and taking that opportunity so it's not as if you need to change anything about your drive just make sure it's safe and just go with it and so some of the gaps that you're taking if you're not sure and you feel like yeah i can take it just take it a bit quicker so that you don't slow them down okay okay um is there anything else that you wanted to go over yeah how are the big round about snell that was good that was good yeah now you did well in the line that's it that's it yeah so remember going the wrong way not a problem yeah um yeah i think that's more or less everything and the maneuver as well oh the the parking yeah so you get why you have to look around yeah a lot of them a lot of locks doing like the checks all around,2563.52,2612.96,934,204,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2563,"2 - The situation is not very critical, as the learner driver is doing well in looking both ways and taking gaps when safe, and there are no immediate obstacles or hazards mentioned.","Earlier, you were looking right, and just as you've seen someone there, and then you're just waiting. Yeah, but now, on the next few attempts that we've had, you've definitely been looking both ways and taking that opportunity. So it's not as if you need to change anything about your drive, just make sure it's safe and just go with it. And so, some of the gaps that you're taking, if you're not sure and you feel like, ""Yeah, I can take it,"" just take it a bit quicker so that you don't slow them down. Okay, okay. Um, is there anything else that you wanted to go over? Yeah, how are the big roundabouts? Snell, that was good; that was good. Yeah, now you did well in the line, that's it, that's it. Yeah, so remember, going the wrong way, not a problem. Yeah, um, yeah, I think that's more or less everything. And the maneuver as well - oh, the parking. Yeah, so you get why you have to look around. Yeah, a lot of them, a lot of locks doing like the checks all around."
yeah anytime you change direction so if you've now reversed and you think all that back tire is touching or it's too close just pop it in first look behind and then take that step forward rather than just sort of using that mirror because that mirror doesn't cover that blind spot which is what we were talking about okay so that's the end of today's mock test i hope you guys enjoyed that video,2614.24,2631.04,395,80,qMWUh6b43tE,2638,https://youtu.be/qMWUh6b43tE?t=2614,"Criticality: 2. 
The situation is not critical as it is the end of a mock test and the speaker is giving a piece of advice to the learner.","Yeah, anytime you change direction, so if you've just reversed and you think all that back tire is touching or it's too close, just pop it in first, look behind, and then take that step forward, rather than just sort of using that mirror, because that mirror doesn't cover that blind spot, which is what we were talking about. Okay, so that's the end of today's mock test. I hope you guys enjoyed that video."
[Music] do [Music] hi guys and welcome back to clevy driving today i'm doing another driving lesson for eloise and in today's lesson we are working on big roundabouts and a little bit of engine break as well okay so when we first start i will be doing a talk through on the first two or three and then after that i'm gonna hopefully cut down my instruction and have you doing them on your own yeah so we have done big roundabouts but just not too much in this area so it's just to get used to these roundabouts a little bit so when you're ready let's get started,0.1,44.96,562,126,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=0,Critical Level: 2 - The situation is not critical at all as it is just a regular driving lesson practicing big roundabouts and engine breaking.,"[Music] Hi guys, and welcome back to Clevy Driving. Today, I'm doing another driving lesson for Eloise. In today's lesson, we are working on big roundabouts and a little bit of engine brake as well. Okay, so when we first start, I will be doing a talk-through on the first two or three, and then after that, I'm gonna hopefully cut down my instruction and have you doing them on your own. Yeah, so we have done big roundabouts, but just not too much in this area, so it's just to get used to these roundabouts a little bit. So when you're ready, let's get started."
so we're gonna go left at the end here,70.4,70.4,38,10,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=70,Criticality level: 3 - The situation is not very critical as the instruction is simple and there aren't any apparent obstacles or hazards.,". So, we're gonna go left at the end here."
okay just try and get yourself around to that corner a bit more brilliant okay so on this first round about we're going to turn right that exit thinking about the approach good start breaking a little bit but watch the right and ahead can we go yeah yeah nice and quick [Music] good it's really important to count the english as you're going around it makes it so much easier to know where you're positioning so looking on your right you know what you're doing good so you're going straight towards the island at an angle right good mirror check there yep really nice position yeah you just have to sit at an angle i know this probably feels so unnatural it does i know that doesn't seem like much but if it came into the road that would be a bigger concern good all right now we're going to be switching into the right lane when safe so think about what you want to do for this good also keep an eye on that top mirror to get a good distance,86.799,173.76,942,194,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=86,"Critical level: 6 - The situation is somewhat critical as the learner driver is approaching a roundabout, and needs to position the car accurately while making sure to observe the surroundings to avoid any potential risks.","Okay, just try and get yourself around to that corner a bit more. Brilliant! Okay, so on this first roundabout, we're going to turn right, that exit. Thinking about the approach, good start! Breaking a little bit, but watch the right and ahead. Can we go? Yeah, yeah, nice and quick. [Music] Good. It's really important to count the exits as you're going around. It makes it so much easier to know where you're positioning. So, looking on your right, you know what you're doing. Good. So you're going straight towards the island at an angle, right? Good mirror check there. Yep, really nice position. Yeah, you just have to sit at an angle. I know this probably feels so unnatural. It does. I know that doesn't seem like much, but if it came into the road, that would be a bigger concern. Good! Alright, now we're going to be switching into the right lane when safe. So, think about what you want to do for this. Good! Also, keep an eye on that top mirror to get a good distance."
leave it running all right so on the slowing down part make sure that speed comes down so break as much as you need get it down to about 20 and then good okay now can we move into or do you need one okay use the accelerator then watch the roundabout and the right look ahead look right how's it looking good nice and quick then counting the exit so there's one okay good but make sure you're looking at the traffic ahead here as well so at this point we should be more towards the right but there's island two in front so as soon as they go we go towards the island so check the left mirror here and go towards the island and round and keep up that momentum at this point and single left there you go now we're in that ideal position for these guys to enter because they know you're leaving does that feel better yeah that was better okay now the traffic lights turn right [Music] doing now think about the gear change and when you want to do it,176.8,262.72,945,198,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=176,I would give this situation a 7 because they are approaching a roundabout and need to be aware of other vehicles and decide when to enter. There is also traffic ahead that they need to be mindful of.,"Leave it running, all right? So on the slowing down part, make sure that speed comes down, so break as much as you need. Get it down to about 20 and then good. Okay, now can we move into or do you need one? Okay, use the accelerator, then watch the roundabout and the right. Look ahead, look right. How's it looking? Good, nice and quick. Then counting the exit, so there's one. Okay, good, but make sure you're looking at the traffic ahead here as well. So at this point we should be more towards the right, but there's island two in front. So, as soon as they go, we go towards the island. So, check the left mirror here and go towards the island and round and keep up that momentum. At this point, signal left. There you go, now we're in that ideal position for these guys to enter because they know you're leaving. Does that feel better? Yeah, that was better. Okay, now the traffic lights. Turn right. (Music) Doing now, think about the gear change and when you want to do it."
get that clutch out come on good now braking have a look around yes or no yeah yeah so it's straight away good good but that gear change you're leaving it too late you're just having more to do at the junction [Music] good break as much as you can here so that we don't have to stop when we get there okay how about with the gear change try and do it three car lengths before the traffic lights or before that junction just give yourself a distance but yeah i want to have it done by this point [Music] okay so what we're gonna do now the roundabout is go straight on okay no not right this time so we're taking the second exit so looking at the road marking yeah what are you gonna do with that gear changer louise [Music] back clutch out come on you can put it back down later good and fast gear you keep forgetting the gears and once once i was when i did remind you about the gear try and use the,267.44,348.32,900,196,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=267,Number 6 - The driving situation is not very critical at this moment as the learner driver is simply practicing gear changes and navigating a roundabout.,correct one just try and get into the habit of that okay and checking before we go so mirror signal maneuver so in left mirror signal left if it's clear we go so mirror signal maneuver so always checking all around us okay good and slowing down by gears so we don't have to brake as much okay take the second exit from this roundabout [Music] okay so we're going down to a national speed limit road okay and we're going to turn right okay so checking all around us okay so mirror signal maneuver so in right indicate right okay and we're going to take the first road on the right [Music] okay so we're going to stop on the left just after these parked cars so clutch down and brake okay and just in front of this red car will do so just come to a stop here okay and handbrake up and then back into neutral okay good job well done
brakes that you're giving yourself more time for the gauge range okay so from here this time is it safe to enter um yeah yeah lots of acceleration and go straight towards the island so using the mirror brilliant good what should we do at this point um signal signal that we're leaving and check that right mirror as you exit because that class has come out from there now as we're in the left lane we do have priority over the exit we'll turn that indicator off now looking at the traffic lights we're going ahead [Music] you see that lori's just come out we're gonna go right in there so the black car's going now okay so with the roundabouts the approach you need to be breaking giving yourself that time you're scared of breaking you're scared of changing gears and bringing that clutch out go left here go into that corner a bit more and get ready straight away can we take it how many cars okay good looking left as well okay so we're going straight on from here,349.6,440.08,967,199,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=349,"I would rate the driving situation in this fragment as a 7 out of 10, as there are multiple potential hazards on the road, such as the need to brake and give oneself more time, the presence of a roundabout, and the need to check mirrors and signal intentions.","Brakes, that you're giving yourself more time for the gauge range. Okay, so from here, is it safe to enter? Yeah, yeah. Lots of acceleration and go straight towards the island. So, using the mirror. Brilliant. What should we do at this point? Signal. Signal that we're leaving and check that right mirror as you exit because that class has come out from there. Now, as we're in the left lane, we do have priority over the exit. We'll turn that indicator off. Now, looking at the traffic lights, we're going ahead. [Music] You see that lorry's just come out. We're gonna go right in there. So, the black car's going now. Okay, so with the roundabouts, the approach, you need to be breaking, giving yourself that time. You're scared of breaking, you're scared of changing gears, and bringing that clutch out. Go left here, go into that corner a bit more, and get ready straight away. Can we take it? How many cars? Okay, good. Looking left as well. Okay, so we're going straight on from here."
all right on the roundabout this time we're gonna turn right third exit so again you can see that's that sharp turn again so that means straight after tricking them we want to be on the left already yeah and you know that's a dual carriageway uh-huh so it will naturally put you in the overtaking lane wouldn't it yeah use the accelerator especially when we're on the bigger roads okay all right so taking the third exit right what should we do on an approach start positioning more towards the right even if you can't go into that lane straight away okay because when it opens up you can go straight forward if it's too narrow don't keep going through if you're not sure okay it is fine but just if you're not comfortable with it don't go just because he's gone through okay so do you want to try the position on your own yeah yeah so you know at what point you should be moving over and the mirror checks and everything else yeah good,446.24,516.0,936,198,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=446,"6 - The driving situation is moderately critical. Turning right on a roundabout with a sharp turn and positioning towards the right while on a dual carriageway could require careful maneuvering and potential merging with other vehicles. The instructor also emphasizes the importance of using the accelerator on bigger roads, which can add to the challenge.","All right, on the roundabout this time, we're going to turn right, third exit. So again, you can see that's that sharp turn again, so that means straight after exiting, we want to be on the left already. Yeah, and you know that's a dual carriageway, uh-huh, so it will naturally put you in the overtaking lane, wouldn't it? Yeah, use the accelerator, especially when we're on the bigger roads. Okay, all right. So, taking the third exit right, what should we do on approach? Start positioning more towards the right, even if you can't go into that lane straight away. Okay, because when it opens up, you can go straight forward. If it's too narrow, don't keep going through if you're not sure. Okay, it is fine, but just if you're not comfortable with it, don't go just because he's gone through. Okay, so do you want to try the position on your own? Yeah, yeah. So, you know at what point you should be moving over and the mirror checks and everything else. Yeah, good."
as the traffic lights go green you should look across to the right and enter the roundabout the traffic in the roundabout would now have a red light eloise starts waiting for the traffic on the roundabout as if it was a giveaway roundabout this holds up the traffic behind her this would go down as a serious fault remember it's traffic light controlled yes let's go come on go go go it's traffic light control the roundabout he's got a red light hasn't he yeah okay yeah and then what do we do brilliant get that steering wheel,518.24,554.64,528,110,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=518,"Critical level: 8

Eloise's mistake of waiting at a traffic light-controlled roundabout as if it was a giveaway roundabout caused serious traffic buildup and posed a high risk of accidents.","As the traffic lights go green, you should look across to the right and enter the roundabout. The traffic in the roundabout would now have a red light. Eloise starts waiting for the traffic on the roundabout as if it was a giveaway roundabout. This holds up the traffic behind her. This would go down as a serious fault. Remember, it's traffic light controlled. Yes, let's go. Come on, go, go, go! It's traffic light control, the roundabout. He's got a red light, hasn't he? Yeah, okay. Yeah, and then what do we do? Brilliant, get that steering wheel."
okay when you saw the lights go green why did you expect them to come through i just got indicated i got stressed okay so they were doing what we did earlier just going into that position yeah excuse me it's okay so when the lights go green look right definitely but they shouldn't be coming through so it's only if they look like they're going through red okay so on approach to the next roundabout do you want to try slowing down and gearing down on your own yeah i'll try yeah so what speed are you going to go down to bed and what speed are you going to go down to second to 20 and you're going to watch your speed to make sure the numbers are down right okay okay so on this next round valve we're taking the second exit straight if there are ahead lights if the traffic lights are green as you get there you can do the roundabout in third you just don't want to do it in fourth it's a bit too fast,574.0,637.519,903,194,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=574,"Critical level: 3. 

The situation is not particularly critical, but there are some potential hazards to be aware of, such as paying attention to the traffic lights and being cautious when approaching the roundabout.","Okay, when you saw the lights go green, why did you expect them to come through? I just got indicated, I got stressed. Okay, so they were doing what we did earlier, just going into that position. Excuse me, it's okay. So, when the lights go green, look right definitely. But they shouldn't be coming through, so it's only if they look like they're going through red. Okay, so on approach to the next roundabout, do you want to try slowing down and gearing down on your own? Yeah, I'll try. What speed are you going to go down to, Ben? And what speed are you going to go down to second? To 20, and you're going to watch your speed to make sure the numbers are down, right? Okay. So on this next roundabout, we're taking the second exit straight. If there are traffic lights ahead, if the traffic lights are green as you get there, you can do the roundabout in third. You just don't want to do it in fourth, it's a bit too fast."
when looking at the roundabout diagram always look at the angle of your turn to be prepared for how you should position in the roundabout now look at the road marking get that clutch out and get it out again all the way there you go okay so now from here which lane is yours there yeah so check the mirror and bit quicker to go in remember it's traffic light control to the left to the left you said yes go quicker now i know you didn't mean to go into that lane yeah yeah go quicker although eloise did check her mirrors before moving to the right there was a vehicle on the right that was affected by her so that would go down as a dangerous fault the left-hand lane on this roundabout was going left only so the middle lane would still be the left-hand lane in the roundabout as soon as you enter the roundabout you need to check your mirror across to the left and go into the first lane at the traffic lights all right we're going to take the exit,639.36,717.44,951,199,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=639,"Criticality: 8. 

Eloise made a dangerous fault by not being aware of the vehicle on the right which was affected by her, and if this had not been pointed out it could have led to a collision. Additionally, the traffic light control and lane changes required a higher level of attention and quick response.","When looking at the roundabout diagram, always look at the angle of your turn to be prepared for how you should position in the roundabout. Now, look at the road marking. Get that clutch out and get it out again, all the way there. You go. Okay, so now from here, which lane is yours? There. Yeah, so check the mirror and bit quicker to go in. Remember, it's traffic light control to the left, to the left you said. Yes, go quicker. Now, I know you didn't mean to go into that lane. Yeah, go quicker.

Although Eloise did check her mirrors before moving to the right, there was a vehicle on the right that was affected by her, so that would go down as a dangerous fault. The left-hand lane on this roundabout was going left only, so the middle lane would still be the left-hand lane in the roundabout. As soon as you enter the roundabout, you need to check your mirror across to the left and go into the first lane at the traffic lights. All right, we're going to take the exit."
here to come off at heathrow so what should we do to come off okay now as you come off i want you to keep right always avoid puddles you want to get your brakes wet um all right on the roundabout we're taking the fourth exit towards heathrow do you wanna try slowing and gearing down on your own again yeah yeah so right signal on and then work on the slowing down part always give yourself more time do a block change this time yeah and then get ready to look first have a look nice and quick count on the exits once you're in stay right what exit have we just passed two then why are we moving left yeah we wait for the third one now check left [Music] good just breaking as you're going into that corner okay just really tuck it in okay we'll talk about that in a minute okay we're just going to do a right turn soon so when safe if you could move into the right hand lane that's great yeah,718.56,815.68,893,196,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=718,"Critical level: 5 - There are some important instructions being given for navigating a roundabout and changing lanes, but the situation is not overly intense or dangerous.","Here to come off at Heathrow, what should we do to come off? Okay, now as you come off, I want you to keep right. Always avoid puddles. You want to get your brakes wet. Alright, on the roundabout, we're taking the fourth exit towards Heathrow. Do you want to try slowing and gearing down on your own again? Yeah, yeah. So right signal on, and then work on the slowing down part. Always give yourself more time. Do a block change this time, yeah, and then get ready to look first. Have a look nice and quick. Count on the exits. Once you're in, stay right. What exit have we just passed? Two. Then why are we moving left? Yeah, we wait for the third one. Now check left. Good, just braking as you're going into that corner. Okay, just really tuck it in. Okay, we'll talk about that in a minute. Okay, we're just going to do a right turn soon so when safe if you could move into the right-hand lane, that's great. Yeah."
so what you want to do is just break move in after him what happened on the roundabout after you entered uh you looked like you were trying to move into the left after second yeah go behind the yellow bar okay what i want you to do is count out loud it makes life so much easier okay now as you're approaching look in that mirror and lean forward towards the steering wheel lean forward as far as you can see it you can see the bus now can't you yeah how many before the bus or after the bus cyclist yeah okay so if you look ahead there's traffic ahead in there so after the cyclist right foot in position lean forward a bit more so you can really cover both both lanes you can turn around because you're stationary but if you just lean forward it opens up that blind spot completely you want to overtake him now so use your mirrors i would do this as early as possible because you don't want to get stuck good now check it left,817.92,874.24,928,192,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=817,6 - The situation is somewhat critical as the learner driver is approaching a roundabout with multiple vehicles around and has to make a decision on overtaking a cyclist.,"So what you want to do is just brake, move in after him. What happened on the roundabout after you entered? Uh, you looked like you were trying to move into the left after second. Yeah, go behind the yellow bar. Okay, what I want you to do is count out loud. It makes life so much easier. Okay, now as you're approaching, look in that mirror and lean forward towards the steering wheel. Lean forward as far as you can so you can see the bus now, can't you? Yeah, how many before the bus or after the bus? Cyclist. Okay, so if you look ahead, there's traffic ahead in there, so after the cyclist, right foot in position. Lean forward a bit more so you can really cover both lanes. You can turn around because you're stationary, but if you just lean forward, it opens up that blind spot completely. You want to overtake him now, so use your mirrors. I would do this as early as possible because you don't want to get stuck. Good. Now check it, left."
again he's going to catch up so you're going to use your mirrors move around safely and then move left one safe okay is it clear yeah go really quickly there brilliant man good check your mirrors and come back in now that bus should be gone by the time we get there because there's no more passengers getting on and off now there's a roundabout in here deluise what should we do for the roundabout slow down fellas here and do a second good now we're taking the third exit it's that 12 o'clock so you can still be in the left lane okay so there's no road locking third now look across to the right and look ahead look across the head good yeah okay now follow your lane and count out loud [Music] yeah this guy really didn't position very well what do we do here at two good there we are was that better yeah counting out loud definitely helped [Music] okay so now we're gonna be doing a right turn at those lights okay,880.079,954.88,919,199,BSbufEViOIc,1767,https://youtu.be/BSbufEViOIc?t=880,"The driving situation is around a 4, as there are some potential obstacles like the roundabout and poorly positioned vehicle, but the instructor is reminding the student to check their mirrors and move safely.","Again, he's going to catch up, so you're going to use your mirrors, move around safely, and then move left one safe. Okay, is it clear? Yeah, go really quickly there, brilliant man. Good, check your mirrors and come back in. Now, that bus should be gone by the time we get there because there are no more passengers getting on and off. 

Now, there's a roundabout in here. Deluise, what should we do for the roundabout? Slow down fellas, here and do a second. Good, now we're taking the third exit. It's at 12 o'clock, so you can still be in the left lane. Okay, so there's no road locking third. Now look across to the right and look ahead. Look across the head. Good, yeah, okay. Now follow your lane and count out loud. [Music] Yeah, this guy really didn't position very well. What do we do here at two? Good, there we are. Was that better? Yeah, counting out loud definitely helped. [Music] Okay, so now we're going to be doing a right turn at those lights. Okay."
